---- RAPORT Z DNIA 21.03.2026 19:55:11 ----

ALBANIAN SIMILARITY:
albanian: 100.000%
basque: 93.421%
bosnian: 94.035%
catalan: 94.664%
croatian: 94.030%
czech: 89.616%
danish: 94.204%
dutch: 94.399%
english: 95.493%
estonian: 94.224%
finnish: 93.635%
french: 93.870%
galician: 93.798%
german: 93.048%
hungarian: 91.486%
icelandic: 91.691%
indonesian: 94.646%
italian: 94.443%
latvian: 90.357%
lithuanian: 92.161%
malay: 94.660%
norwegian: 94.716%
polish: 88.098%
portuguese: 94.078%
serbian: 93.741%
slovak: 91.547%
spanish: 94.298%
swedish: 94.323%
turkish: 90.707%

BASQUE SIMILARITY:
albanian: 93.421%
basque: 100.000%
bosnian: 93.836%
catalan: 96.061%
croatian: 93.738%
czech: 89.543%
danish: 94.165%
dutch: 95.535%
english: 95.912%
estonian: 95.448%
finnish: 94.061%
french: 94.622%
galician: 95.467%
german: 93.826%
hungarian: 92.839%
icelandic: 90.858%
indonesian: 96.759%
italian: 96.036%
latvian: 91.355%
lithuanian: 93.973%
malay: 96.856%
norwegian: 94.864%
polish: 89.211%
portuguese: 95.491%
serbian: 93.787%
slovak: 91.764%
spanish: 95.745%
swedish: 94.730%
turkish: 93.576%

BOSNIAN SIMILARITY:
albanian: 94.035%
basque: 93.836%
bosnian: 100.000%
catalan: 94.762%
croatian: 99.988%
czech: 96.268%
danish: 93.399%
dutch: 94.142%
english: 94.602%
estonian: 94.599%
finnish: 92.916%
french: 93.505%
galician: 94.536%
german: 91.343%
hungarian: 92.714%
icelandic: 91.200%
indonesian: 94.238%
italian: 95.500%
latvian: 93.914%
lithuanian: 95.108%
malay: 94.238%
norwegian: 93.921%
polish: 91.974%
portuguese: 94.341%
serbian: 99.969%
slovak: 97.613%
spanish: 95.048%
swedish: 93.948%
turkish: 90.606%

CATALAN SIMILARITY:
albanian: 94.664%
basque: 96.061%
bosnian: 94.762%
catalan: 100.000%
croatian: 94.611%
czech: 91.501%
danish: 95.992%
dutch: 96.751%
english: 98.673%
estonian: 95.245%
finnish: 93.795%
french: 99.042%
galician: 99.485%
german: 95.628%
hungarian: 93.372%
icelandic: 92.368%
indonesian: 96.231%
italian: 99.216%
latvian: 91.893%
lithuanian: 93.561%
malay: 96.279%
norwegian: 96.447%
polish: 89.569%
portuguese: 99.475%
serbian: 94.530%
slovak: 93.302%
spanish: 99.606%
swedish: 96.245%
turkish: 93.345%

CROATIAN SIMILARITY:
albanian: 94.030%
basque: 93.738%
bosnian: 99.988%
catalan: 94.611%
croatian: 100.000%
czech: 96.247%
danish: 93.318%
dutch: 94.027%
english: 94.515%
estonian: 94.552%
finnish: 92.918%
french: 93.373%
galician: 94.352%
german: 91.235%
hungarian: 92.649%
icelandic: 91.268%
indonesian: 94.152%
italian: 95.380%
latvian: 93.857%
lithuanian: 95.106%
malay: 94.153%
norwegian: 93.849%
polish: 91.868%
portuguese: 94.162%
serbian: 99.949%
slovak: 97.592%
spanish: 94.880%
swedish: 93.922%
turkish: 90.482%

CZECH SIMILARITY:
albanian: 89.616%
basque: 89.543%
bosnian: 96.268%
catalan: 91.501%
croatian: 96.247%
czech: 100.000%
danish: 90.121%
dutch: 91.075%
english: 92.018%
estonian: 90.811%
finnish: 89.712%
french: 91.195%
galician: 91.639%
german: 89.178%
hungarian: 93.299%
icelandic: 88.535%
indonesian: 90.406%
italian: 91.519%
latvian: 90.891%
lithuanian: 91.494%
malay: 90.353%
norwegian: 90.626%
polish: 91.598%
portuguese: 91.452%
serbian: 96.185%
slovak: 99.476%
spanish: 91.934%
swedish: 90.606%
turkish: 88.606%

DANISH SIMILARITY:
albanian: 94.204%
basque: 94.165%
bosnian: 93.399%
catalan: 95.992%
croatian: 93.318%
czech: 90.121%
danish: 100.000%
dutch: 98.365%
english: 97.585%
estonian: 95.325%
finnish: 94.479%
french: 95.825%
galician: 94.538%
german: 97.470%
hungarian: 93.488%
icelandic: 94.204%
indonesian: 94.426%
italian: 95.573%
latvian: 90.276%
lithuanian: 91.983%
malay: 94.600%
norwegian: 99.781%
polish: 87.405%
portuguese: 94.916%
serbian: 93.140%
slovak: 91.829%
spanish: 95.039%
swedish: 98.934%
turkish: 92.822%

DUTCH SIMILARITY:
albanian: 94.399%
basque: 95.535%
bosnian: 94.142%
catalan: 96.751%
croatian: 94.027%
czech: 91.075%
danish: 98.365%
dutch: 100.000%
english: 98.251%
estonian: 95.330%
finnish: 94.345%
french: 96.384%
galician: 95.611%
german: 98.649%
hungarian: 93.233%
icelandic: 92.404%
indonesian: 95.237%
italian: 96.499%
latvian: 91.028%
lithuanian: 92.006%
malay: 95.430%
norwegian: 98.589%
polish: 89.708%
portuguese: 95.747%
serbian: 93.866%
slovak: 92.813%
spanish: 96.048%
swedish: 97.778%
turkish: 92.572%

ENGLISH SIMILARITY:
albanian: 95.493%
basque: 95.912%
bosnian: 94.602%
catalan: 98.673%
croatian: 94.515%
czech: 92.018%
danish: 97.585%
dutch: 98.251%
english: 100.000%
estonian: 95.693%
finnish: 94.594%
french: 98.479%
galician: 97.744%
german: 97.628%
hungarian: 93.402%
icelandic: 93.310%
indonesian: 96.477%
italian: 98.440%
latvian: 91.714%
lithuanian: 93.203%
malay: 96.619%
norwegian: 97.931%
polish: 90.601%
portuguese: 97.819%
serbian: 94.221%
slovak: 93.688%
spanish: 98.042%
swedish: 97.452%
turkish: 93.570%

ESTONIAN SIMILARITY:
albanian: 94.224%
basque: 95.448%
